('EBAS_VNAME', 'CFNAME', 'MATRIX_NAME')
('europium', 'mass_concentration_of_europium_in_dry_aerosol_particles_in _air', 'aerosol')
('flow_rate', None, 'aerosol')
('fluoranthene', 'mass_concentration_of_fluoranthene_in_dry_aerosol_particles_in _air', 'aerosol')
('fluorene', 'mass_concentration_of_fluorene_in_dry_aerosol_particles_in _air', 'aerosol')
('fluoride', 'mass_concentration_of_fluoride_in_dry_aerosol_particles_in _air', 'aerosol')
('formate', 'mass_concentration_of_formate_in_dry_aerosol_particles_in _air', 'aerosol')
('fructose', None, 'aerosol')
('gadolinium', 'mass_concentration_of_gadolinium_in_dry_aerosol_particles_in _air', 'aerosol')
('galactosan', None, 'aerosol')
('gallium', 'mass_concentration_of_gallium_in_dry_aerosol_particles_in _air', 'aerosol')
('gamma_HCH', 'mass_concentration_of_gamma_hexachlorocyclohexane_in_dry_aerosol_particles_in _air', 'aerosol')
('germanium', 'mass_concentration_of_germanium_in_dry_aerosol_particles_in _air', 'aerosol')
('glucose', None, 'aerosol')
('hafnium', 'mass_concentration_of_hafnium_in_dry_aerosol_particles_in _air', 'aerosol')
('heptachlor', 'mass_concentration_of_heptachlor_in_dry_aerosol_particles_in _air', 'aerosol')
('heptachlorepoxide', 'mass_concentration_of_heptachlor_epoxide_in_dry_aerosol_particles_in _air', 'aerosol')
('holmium', 'mass_concentration_of_holmium_in_dry_aerosol_particles_in _air', 'aerosol')
('inden_123cd_pyrene', 'mass_concentration_of_inden_123cd_pyrene_in_dry_aerosol_particles_in _air', 'aerosol')
('indene', 'mass_concentration_of_indene_in_dry_aerosol_particles_in _air', 'aerosol')
('indeno_123cd_perylene', 'mass_concentration_of_indeno_123cd_perylene_in_dry_aerosol_particles_in _air', 'aerosol')
('inositol', None, 'aerosol')
('iodide', 'mass_concentration_of_iodide_in_dry_aerosol_particles_in _air', 'aerosol')
('iron', 'mass_concentration_of_iron_in_dry_aerosol_particles_in _air', 'aerosol')
('iron_57', 'mass_concentration_of_iron_in_dry_aerosol_particles_in _air', 'aerosol')
('lanthanum', 'mass_concentration_of_lanthanum_in_dry_aerosol_particles_in _air', 'aerosol')
('lead', 'mass_concentration_of_lead_in_dry_aerosol_particles_in _air', 'aerosol')
('levoglucosan', 'mass_concentration_of_levoglucosan_in_dry_aerosol_particles_in _air', 'aerosol')
('lithium', 'mass_concentration_of_lithium_in_dry_aerosol_particles_in _air', 'aerosol')
('lutetium', 'mass_concentration_of_lutetium_in_dry_aerosol_particles_in _air', 'aerosol')
('magnesium', 'mass_concentration_of_magnesium_in_dry_aerosol_particles_in _air', 'aerosol')
